(from GFF),,,
gene.name,gene.ID,B2Gname,rnaID
LOC106915748,gene0,NA,NA
rapgefl1,gene1,rna1_gene_rapgefl1,rna1
LOC106918744,gene2,rna3_gene_LOC106918744,rna3
LOC106917392,gene3,rna6_gene_LOC106917392,rna6
LOC106919500,gene4,rna12_gene_LOC106919500,rna12
ccdc103,gene5,rna13_gene_ccdc103,rna13
LOC106922540,gene6,rna14_gene_LOC106922540,rna14
LOC106903211,gene7,rna16_gene_LOC106903211,rna16
LOC106925204,gene8,rna17_gene_LOC106925204,rna17
LOC106925952,gene9,rna18_gene_LOC106925952,rna18
LOC106924471,gene10,rna20_gene_LOC106924471,rna20
LOC106927142,gene11,rna21_gene_LOC106927142,rna21
LOC106929279,gene12,rna25_gene_LOC106929279,rna25
rdm1,gene13,rna27_gene_rdm1,rna27
LOC106930946,gene14,rna28_gene_LOC106930946,rna28
LOC106932929,gene15,rna30_gene_LOC106932929,rna30
LOC106933667,gene16,rna31_gene_LOC106933667,rna31
LOC106903667,gene17,NA,NA
LOC106904181,gene18,rna34_gene_LOC106904181,rna34
LOC106905425,gene19,NA,NA
LOC106905942,gene20,rna37_gene_LOC106905942,rna37
cdc27,gene21,rna38_gene_cdc27,rna38
LOC106908006,gene22,rna40_gene_LOC106908006,rna40
trnaf-aaa,gene23,NA,NA
trnai-aau,gene24,NA,NA
trnai-gau,gene25,NA,NA
LOC106908799,gene26,rna44_gene_LOC106908799,rna44
LOC106909639,gene27,rna45_gene_LOC106909639,rna45
rnf25,gene28,rna46_gene_rnf25,rna46
LOC106919973,gene29,NA,NA
LOC106911305,gene30,NA,NA
LOC106911900,gene31,NA,NA
hlf,gene32,rna50_gene_hlf,rna50
mmd,gene33,rna52_gene_mmd,rna52
LOC106913962,gene34,rna53_gene_LOC106913962,rna53
pctp,gene35,rna54_gene_pctp,rna54
LOC106914148,gene36,NA,NA
LOC106914277,gene37,NA,NA
nog,gene38,rna58_gene_nog,rna58
LOC106914323,gene39,rna59_gene_LOC106914323,rna59
LOC106924728,gene40,rna60_gene_LOC106924728,rna60
LOC106931944,gene41,NA,NA
LOC106905683,gene42,NA,NA
trnal-uag,gene43,NA,NA
rbfox3,gene44,rna64_gene_rbfox3,rna64
LOC106914683,gene45,NA,NA
LOC106914858,gene46,NA,NA
LOC106914891,gene47,NA,NA
LOC106914401,gene48,rna77_gene_LOC106914401,rna77
tmem104,gene49,rna78_gene_tmem104,rna78
LOC106911021,gene50,rna79_gene_LOC106911021,rna79
LOC106914377,gene51,rna80_gene_LOC106914377,rna80
tsen54,gene52,rna81_gene_tsen54,rna81
LOC106915072,gene53,rna82_gene_LOC106915072,rna82
trnat-cgu,gene54,NA,NA
LOC106915285,gene55,NA,NA
LOC106915130,gene56,rna85_gene_LOC106915130,rna85
crlf3,gene57,rna86_gene_crlf3,rna86
LOC106915327,gene58,rna88_gene_LOC106915327,rna88
LOC106915452,gene59,NA,NA
LOC106915570,gene60,rna90_gene_LOC106915570,rna90
LOC106915498,gene61,rna92_gene_LOC106915498,rna92
LOC106915046,gene62,rna93_gene_LOC106915046,rna93
trnav-aac,gene63,NA,NA
LOC106916077,gene64,rna95_gene_LOC106916077,rna95
LOC106916144,gene65,rna96_gene_LOC106916144,rna96
clns1a,gene66,rna100_gene_clns1a,rna100
aqp11,gene67,rna101_gene_aqp11,rna101
pak1,gene68,rna102_gene_pak1,rna102
LOC106916740,gene69,NA,NA
gdpd4,gene70,rna106_gene_gdpd4,rna106
myo7a,gene71,rna111_gene_myo7a,rna111
LOC106917188,gene72,rna115_gene_LOC106917188,rna115
LOC106917393,gene73,NA,NA
LOC106917326,gene74,rna118_gene_LOC106917326,rna118
rps3,gene75,rna119_gene_rps3,rna119
LOC106917461,gene76,NA,NA
kctd14,gene77,rna121_gene_kctd14,rna121
LOC106917503,gene78,rna122_gene_LOC106917503,rna122
LOC106917641,gene79,NA,NA
ints4,gene80,rna124_gene_ints4,rna124
aamdc,gene81,rna125_gene_aamdc,rna125
LOC106917826,gene82,NA,NA
exosc5,gene83,rna131_gene_exosc5,rna131
tmem91,gene84,rna132_gene_tmem91,rna132
LOC106915949,gene85,NA,NA
ppp1r13l,gene86,rna137_gene_ppp1r13l,rna137
hnrnpul1,gene87,rna138_gene_hnrnpul1,rna138
opa3,gene88,rna141_gene_opa3,rna141
LOC106918443,gene89,rna143_gene_LOC106918443,rna143
LOC106918635,gene90,NA,NA
LOC106918686,gene91,rna145_gene_LOC106918686,rna145
LOC106919609,gene92,NA,NA
LOC106919659,gene93,NA,NA
LOC106919403,gene94,rna161_gene_LOC106919403,rna161
axl,gene95,rna165_gene_axl,rna165
LOC106919932,gene96,rna166_gene_LOC106919932,rna166
LOC106919851,gene97,rna167_gene_LOC106919851,rna167
LOC106919782,gene98,rna168_gene_LOC106919782,rna168
trnaq-cug,gene99,NA,NA
trnav-aac,gene100,NA,NA
trnav-uac,gene101,NA,NA
LOC106920055,gene102,rna174_gene_LOC106920055,rna174
LOC106919996,gene103,rna179_gene_LOC106919996,rna179
LOC106920513,gene104,NA,NA
ppp5c,gene105,rna183_gene_ppp5c,rna183
LOC106920593,gene106,rna185_gene_LOC106920593,rna185
LOC106921239,gene107,rna187_gene_LOC106921239,rna187
LOC106921450,gene108,rna188_gene_LOC106921450,rna188
LOC106921040,gene109,rna189_gene_LOC106921040,rna189
LOC106921169,gene110,rna190_gene_LOC106921169,rna190
LOC106921372,gene111,rna192_gene_LOC106921372,rna192
LOC106921309,gene112,rna193_gene_LOC106921309,rna193
LOC106920908,gene113,rna194_gene_LOC106920908,rna194
LOC106920763,gene114,rna195_gene_LOC106920763,rna195
LOC106921524,gene115,rna196_gene_LOC106921524,rna196
LOC106920828,gene116,rna197_gene_LOC106920828,rna197
sbds,gene117,rna198_gene_sbds,rna198
tyw1,gene118,rna199_gene_tyw1,rna199
LOC106922948,gene119,NA,NA
caln1,gene120,rna203_gene_caln1,rna203
LOC106923094,gene121,NA,NA
wbscr17,gene122,rna207_gene_wbscr17,rna207
LOC106923041,gene123,NA,NA
rhbdd1,gene124,rna209_gene_rhbdd1,rna209
eml2,gene125,rna212_gene_eml2,rna212
gpr4,gene126,rna215_gene_gpr4,rna215
LOC106922995,gene127,NA,NA
LOC106921897,gene128,rna219_gene_LOC106921897,rna219
LOC106922866,gene129,NA,NA
cd3eap,gene130,rna224_gene_cd3eap,rna224
LOC106922128,gene131,rna225_gene_LOC106922128,rna225
LOC106922069,gene132,rna227_gene_LOC106922069,rna227
LOC106923512,gene133,rna228_gene_LOC106923512,rna228
LOC106923622,gene134,rna232_gene_LOC106923622,rna232
LOC106924093,gene135,rna240_gene_LOC106924093,rna240
LOC106923301,gene136,rna241_gene_LOC106923301,rna241
trnai-aau,gene137,NA,NA
trnai-aau,gene138,NA,NA
LOC106924173,gene139,rna244_gene_LOC106924173,rna244
trnai-aau,gene140,NA,NA
trnai-aau,gene141,NA,NA
trnai-aau,gene142,NA,NA
LOC106924360,gene143,rna248_gene_LOC106924360,rna248
LOC106924497,gene144,NA,NA
tcf19,gene145,rna252_gene_tcf19,rna252
LOC106923457,gene146,NA,NA
LOC106924548,gene147,rna254_gene_LOC106924548,rna254
LOC106924729,gene148,NA,NA
LOC106924781,gene149,NA,NA
LOC106926231,gene150,rna259_gene_LOC106926231,rna259
LOC106926303,gene151,rna263_gene_LOC106926303,rna263
LOC106927321,gene152,NA,NA
LOC106926517,gene153,rna265_gene_LOC106926517,rna265
LOC106925924,gene154,rna266_gene_LOC106925924,rna266
LOC106927274,gene155,NA,NA
LOC106926592,gene156,rna274_gene_LOC106926592,rna274
LOC106927168,gene157,rna275_gene_LOC106927168,rna275
bmp8a,gene158,rna277_gene_bmp8a,rna277
LOC106924831,gene159,rna304_gene_LOC106924831,rna304
ndufs5,gene160,rna305_gene_ndufs5,rna305
LOC106927440,gene161,rna306_gene_LOC106927440,rna306
LOC106927507,gene162,NA,NA
ak2,gene163,rna311_gene_ak2,rna311
LOC106927701,gene164,NA,NA
LOC106927754,gene165,rna314_gene_LOC106927754,rna314
LOC106928234,gene166,rna317_gene_LOC106928234,rna317
LOC106928444,gene167,NA,NA
LOC106928307,gene168,rna319_gene_LOC106928307,rna319
LOC106928008,gene169,rna320_gene_LOC106928008,rna320
LOC106923387,gene170,rna324_gene_LOC106923387,rna324
LOC106928368,gene171,rna325_gene_LOC106928368,rna325
LOC106928805,gene172,rna326_gene_LOC106928805,rna326
lpl,gene173,rna328_gene_lpl,rna328
LOC106929149,gene174,NA,NA
LOC106929061,gene175,rna330_gene_LOC106929061,rna330
LOC106928916,gene176,rna331_gene_LOC106928916,rna331
LOC106929256,gene177,NA,NA
LOC106929195,gene178,rna333_gene_LOC106929195,rna333
LOC106929302,gene179,rna334_gene_LOC106929302,rna334
LOC106929506,gene180,rna338_gene_LOC106929506,rna338
LOC106929578,gene181,rna339_gene_LOC106929578,rna339
LOC106929652,gene182,rna340_gene_LOC106929652,rna340
tax1bp3,gene183,rna341_gene_tax1bp3,rna341
LOC106929729,gene184,rna343_gene_LOC106929729,rna343
LOC106929849,gene185,rna345_gene_LOC106929849,rna345
pole4,gene186,rna346_gene_pole4,rna346
LOC106930110,gene187,rna347_gene_LOC106930110,rna347
LOC106930181,gene188,rna348_gene_LOC106930181,rna348
gclm,gene189,rna350_gene_gclm,rna350
dnttip2,gene190,rna351_gene_dnttip2,rna351
spata6,gene191,rna352_gene_spata6,rna352
agbl4,gene192,rna353_gene_agbl4,rna353
bend5,gene193,rna354_gene_bend5,rna354
elavl4,gene194,rna358_gene_elavl4,rna358
dmrta2,gene195,rna365_gene_dmrta2,rna365
faf1,gene196,rna366_gene_faf1,rna366
LOC106931394,gene197,NA,NA
cdkn2c,gene198,rna368_gene_cdkn2c,rna368
rnf11,gene199,rna370_gene_rnf11,rna370
ttc39a,gene200,rna371_gene_ttc39a,rna371
eps15,gene201,rna374_gene_eps15,rna374
LOC106932182,gene202,NA,NA
LOC106932226,gene203,rna382_gene_LOC106932226,rna382
tor3a,gene204,rna383_gene_tor3a,rna383
LOC106932369,gene205,NA,NA
